QuestionID,QuestionText,A,B,C,D,CorrectAnswer,Explanation,Domain/Topic
90,"Which AWS tool provides best practice checks and recommendations in areas like cost optimization, security, performance, and fault tolerance?",AWS Trusted Advisor,AWS Artifact,Amazon CloudWatch,AWS Organizations,AWS Trusted Advisor,"AWS Trusted Advisor is a service that inspects your AWS environment and provides recommendations to help you close security gaps, save money, improve system performance, and enhance fault tolerance. It includes checks such as underutilized EC2 instances (for cost savings), S3 buckets with public access (security), or service limits (to avoid hitting capacity). Some core checks are available to all customers, and full checks are available to Business and Enterprise Support customers. AWS Artifact is for compliance documents, CloudWatch is monitoring, and Organizations is for account management.","Billing, Pricing, and Support"
91,"Which of the following is NOT a factor in the pricing for Amazon S3?","The number of S3 buckets you create","The amount of data stored in GB-months","Data egress (data transferred out of S3)","The number of HTTP PUT, GET, DELETE requests made to S3","The number of S3 buckets you create","Amazon S3 pricing is based on several factors: the total amount of data stored (typically charged per GB-month, with different rates for different storage classes), data transfer out of S3 (data egress to the internet or to other regions), and the number and type of requests (GET, PUT, etc.). However, you are not charged based on the number of buckets. You can create multiple buckets at no direct cost. The costs come from storage, data transfer, and requests in those buckets. Therefore, having, say, 10 buckets vs 1 bucket doesn't itself incur a fee, unless the data/requests in them differ.","Billing, Pricing, and Support"
92,"Which AWS Support plan is included for all customers by default at no additional cost and offers access to documentation, whitepapers, and the AWS community forums (but no direct technical support from AWS engineers)?",Basic Support,Developer Support,Business Support,Enterprise Support,Basic Support,"Basic Support is the free support level that's included for every AWS customer. It provides access to resources like AWS documentation, whitepapers, AWS Knowledge Center articles, and community forums for self-help. Basic Support also includes 24/7 access to customer service for account and billing questions, and access to the AWS Trusted Advisor's basic checks. However, it does not include technical support from AWS Support engineers. For technical support, customers would need to upgrade to Developer, Business, or Enterprise Support.","Billing, Pricing, and Support"
93,"Which of the following AWS services is provided at no additional cost (customers can use it without incurring usage fees)?",AWS Identity and Access Management (IAM),Amazon RDS,Amazon Kinesis,Amazon EC2,AWS Identity and Access Management (IAM),"AWS Identity and Access Management (IAM) is offered to AWS customers at no extra charge. You can create users, groups, roles, and policies to manage access to AWS resources without any direct cost. There may be indirect costs if you use other services heavily (e.g., many API calls that show up in CloudTrail logs), but IAM itself has no billing metric. In contrast, Amazon EC2, RDS, Kinesis, etc., have usage-based charges.","Billing, Pricing, and Support"
94,"Which AWS tool provides a personalized view of the health of the AWS services that you are using and alerts you to events like outages or maintenance that may affect your specific resources?",AWS Personal Health Dashboard,AWS Service Health Dashboard,Amazon CloudWatch Alarms,AWS Config Dashboard,AWS Personal Health Dashboard,"AWS Personal Health Dashboard provides alerts and remediation guidance when AWS is experiencing events that might affect you. It's personalized, meaning it only shows issues impacting the specific AWS resources and services you are using. For example, if a particular EC2 instance might be affected by scheduled maintenance, you'll see a warning or alert there. The AWS Service Health Dashboard (public dashboard) displays general service statuses across AWS (not account-specific). CloudWatch Alarms monitor your metrics, and AWS Config tracks config changes.","Billing, Pricing, and Support"
95,"Which statement is true regarding AWS data transfer costs?","Data transferred into AWS (ingress) is generally free, while data transferred out (egress) to the internet is charged","All data transfer between AWS services is free of charge","AWS charges for data transferred into AWS but not for data going out","Using AWS Direct Connect eliminates all data transfer fees","Data transferred into AWS (ingress) is generally free, while data transferred out (egress) to the internet is charged","Generally, AWS does not charge for inbound data transfer (data coming into AWS from the internet). However, data transfer out from AWS to the internet is charged and can be a significant part of your costs. Also, data transfer between services or across regions/AZs may incur charges depending on the scenario (for example, transferring data between Availability Zones or out from one AWS service to another might have costs). Using AWS Direct Connect can reduce internet bandwidth costs and provide a cheaper per GB rate for outbound data in some cases, but it does not make data transfer completely free. Always check the specific data transfer pricing for the services and regions you're using.","Billing, Pricing, and Support"
96,"Which AWS Support plan is targeted at developers and provides business hours access to support via email for one primary contact, with response times of < 24 hours for general guidance?",Developer Support,Basic Support,Business Support,Enterprise Support,Developer Support,"The Developer Support plan is the lowest tier of paid support, geared towards developers or trial environments. It includes business hours email access to AWS support (for one person, the primary contact), with a response time goal of < 24 hours for general guidance questions (and < 12 hours for system-impaired issues). It provides access to the 7 core Trusted Advisor checks. It does not include phone support or full 24x7 coverage—that comes with Business and Enterprise. Basic Support has no technical support cases at all.","Billing, Pricing, and Support"
97,"What is the AWS Partner Network (APN)?","A global community of partners (companies) that offer consulting services or software solutions for AWS customers","The system AWS uses to interconnect its data centers around the world","The internal AWS employee network for support escalation","A social network for AWS certified professionals","A global community of partners (companies) that offer consulting services or software solutions for AWS customers","The AWS Partner Network (APN) is AWS's program for technology and consulting partners. It includes companies that have earned designations due to their expertise with AWS. These partners can help customers with things like cloud migration, managed services, or provide specialized software that runs on AWS. APN partners are broadly categorized as Consulting Partners (help implement and manage AWS for customers) and Technology Partners (provide software tools or services that integrate with AWS). It's not about AWS's internal networks or a social platform; it's a business ecosystem.","Billing, Pricing, and Support"
98,"In AWS Organizations, what is the purpose of a Service Control Policy (SCP)?","To centrally restrict or allow certain AWS service actions for member accounts, overriding lower-level permissions","To automatically enforce encryption on all S3 buckets in an account","To control VPC network traffic between accounts in an organization","To define cost allocation rules for linked accounts","To centrally restrict or allow certain AWS service actions for member accounts, overriding lower-level permissions","Service Control Policies (SCPs) are a feature of AWS Organizations. They allow an organization’s master account to impose guardrails on member accounts by explicitly whitelisting or blacklisting certain AWS service actions. Even if a user in a member account has IAM permissions to perform an action, an SCP can block that action if it's not permitted by the SCP. SCPs do not grant permissions themselves; they set the maximum permission boundary for accounts in the Organization Unit (OU) or for individual accounts. This is used for governance (for example, ensuring no account can create certain resource types). They don't directly set encryption or network rules (those are done per service), and they are unrelated to cost allocation tagging.","Billing, Pricing, and Support"
99,"What can a company do if it has purchased a Reserved Instance (RI) that it no longer needs and wants to recoup some of its cost?","Sell the Reserved Instance on the AWS Reserved Instance Marketplace","Convert the Reserved Instance back into cash via AWS support","Transfer the Reserved Instance to another account privately","Nothing; once purchased, a Reserved Instance cannot be modified or sold","Sell the Reserved Instance on the AWS Reserved Instance Marketplace","AWS provides a Reserved Instance Marketplace where customers can list and sell their unused Standard Reserved Instances to other AWS customers. If a company finds that an RI no longer fits its needs (for example, they changed instance types or scaled down), they can try to sell the remaining term of that RI through the marketplace. There are some restrictions (like it's only for Standard RIs, and they must have at least one month remaining). You cannot directly 'convert to cash' via AWS support except by selling it on the marketplace; RIs also cannot simply be transferred between accounts unless under the same consolidated billing family, in which case all accounts in an Org can consume an RI's benefit by default.","Billing, Pricing, and Support"
100,"Which tool provides the most detailed breakdown of AWS usage and costs, often used for complex billing analysis, by delivering reports to an S3 bucket?",AWS Cost and Usage Report,AWS Cost Explorer API,AWS Budgets Reports,AWS Trusted Advisor export,AWS Cost and Usage Report,"The AWS Cost and Usage Report (CUR) is the most granular source of billing data. It can be configured to deliver daily or hourly reports to an S3 bucket, containing line items for each usage category in CSV or Parquet format. This report includes very detailed information on usage (down to hourly usage of each resource) and costs. Businesses often load this into analysis tools or AWS services like Athena or QuickSight for deep cost analysis. Cost Explorer API can give programmatic access to cost data, but still at a higher level of aggregation. Budgets reports send budget alerts, and Trusted Advisor export relates to checks, not comprehensive billing data.","Billing, Pricing, and Support"
